	HCA1	HCA2	HCA3	HCA4	HCA5	HCA6	HCA7	HCA8	HCA9	HCA10	HCA11	HCA12	HCA13	HCA14	HCA15	HCA16	HCA17	HCA18	HCA19	HCA20	HCA21	HCA22	HCA23	HCA24	HCA25	HCA26	HCA27	HCA28	HCA29	HCA30	HCA31	HCA32	HCA33	HCA34	HCA35	HCA36	HCA37	HCA38	HCA39	HCA40	HCA41	HCA42	HCA43	HCA44	HCA45	HCA46	HCA47	HCA48	HCA49	HCA50	HCA51	HCA52	HCA53	HCA54	HCA55	HCA56	HCA57	HCA58	HCA59	HCA60	HCA61	HCA62	HCA63	HCA64	HCA65	HCA66	HCA67	HCA68	HCA69	HCA70	HCA71	HCA72	HCA73	HCA74	HCA75	HCA76	HCA77	HCA78	HCA79	HCA80	HCA81	HCA82	HCA83	HCA84	HCA85	HCA86	HCA87	HCA88	HCA89	HCA90	HCA91	HCA92	HCA93	HCA94	HCA95	HCA96	HCA97	HCA98	HCA99	HCA100	HCA101	HCA102	HCA103	HCA104	HCA105	HCA106	HCA107	HCA108	HCA109	HCA110	HCA111	HCA112	HCA113	HCA114	HCA115	HCA116	HCA117	HCA118	HCA119	HCA120	HCA121	HCA122	HCA123	HCA124	HCA125	HCA126	HCA127	HCA128	HCA129	HCA130	HCA131	HCA132	HCA133	HCA134	HCA135	HCA136	HCA137	HCA138	HCA139	HCA140	HCA141	HCA142	HCA143	HCA144	HCA145	HCA146	HCA147	HCA148	HCA149	HCA150	HCA151	HCA152	HCA153	HCA154	HCA155	HCA156	HCA157	HCA158	HCA159	HCA160	HCA161	HCA162	HCA163	HCA164	HCA165	HCA166	HCA167	HCA168	HCA169	HCA170	HCA171	HCA172	HCA173	HCA174	HCA175	HCA176	HCA177	HCA178	HCA179	HCA180	HCA181	HCA182	HCA183	HCA184	HCA185	HCA186	HCA187	HCA188	HCA189	HCA190	HCA191	HCA192	HCA193	HCA194	HCA195	HCA196	HCA197	HCA198	HCA199	HCA200	HCA201	HCA202	HCA203	HCA204	HCA205	HCA206	HCA207	HCA208	HCA209	HCA210	HCA211	HCA212	HCA213	HCA214	HCA215	HCA216	HCA217	HCA218	HCA219	HCA220	HCA221	HCA222	HCA223	HCA224	HCA225	HCA226	HCA227	HCA228	HCA229	HCA230	HCA231	HCA232	HCA233	HCA234	HCA235	HCA236	HCA237
Bacteroides	4.341144833	8.223992502	6.128266033	7.753050969	5.259623993	9.371754933	0.245121146	0.328994421	0.050021885	0.175284838	0.355219862	0.124853392	0.806536637	0.106671543	0.057273769	0.135282181	0.104981544	0.085444004	0.645049943	0.291469655	0.778258802	0.280236286	0.285333484	0.432957725	6.229465745	11.97077006	3.941048361	9.410307666	30.75746861	49.47978507	11.37844045	14.40393436	22.20713222	32.11263271	32.54014796	12.16587244	26.88210809	17.61158573	34.80279393	9.377068471	28.0433167	7.567727829	22.47979898	51.52728521	5.153735039	50.49211372	46.05382326	2.276110004	38.55642703	33.10527677	30.93177016	18.68687934	1.33808521	35.25063741	3.287938184	5.270879947	24.40882701	39.58808548	15.84483122	47.42572606	48.61794601	0.045764263	0	57.13798251	37.70886503	59.25070309	1.0935717	0	0.016010247	64.43655643	0	53.03696393	0	0	0	0	0.05535566	0	0.035337473	0	33.50585889	6.206270886	3.678316697	5.062330929	24.19038035	3.369402767	8.520744513	24.19205376	11.96306573	6.017253298	3.286626794	10.01417412	26.58027401	7.169987136	9.263756627	9.686621359	5.526068518	26.29714083	16.78298584	8.284857314	15.12549824	4.447284256	6.719255108	32.99448421	3.211040892	6.34789937	4.629541304	24.49355326	6.550652635	3.33669126	5.337516567	3.435908048	27.50973817	58.37034171	5.723825156	5.083842424	5.766340329	18.22927997	16.7528124	18.47862958	23.17286351	40.24571065	30.11653838	12.83754196	15.80429574	49.86995063	18.81192703	1.924964787	1.871511437	7.186104218	33.76726332	5.006483622	15.63249772	15.1056295	9.346280562	26.36509207	1.031821046	9.363795164	3.481785106	10.12940228	3.647592725	0.249398005	10.62655065	7.700808983	1.981463726	4.933242815	19.98310097	1.574232997	0.253950339	12.5624716	5.370257883	19.20123938	3.579773599	9.226666667	1.277554469	2.078751919	2.611886255	2.645082791	6.4646373	4.34974865	1.308342968	2.544966986	0.377761178	2.51125273	0.866113316	2.732465394	1.829268293	8.987772595	29.76212497	3.591573616	20.1961261	8.4336693	9.277268593	9.922565614	20.89745505	27.88562947	8.094073001	33.84527873	12.87748196	13.76186244	2.938013915	8.801767274	4.637149028	4.196208578	22.13772708	9.285304248	1.027900147	8.325681053	1.787301879	0.604527384	11.77439082	8.180842575	4.728619649	18.87468497	6.476007562	0.503167421	45.52813683	30.92885375	15.83165393	18.69752331	1.324184809	5.822576215	34.92402153	8.883545826	37.04417396	5.067665679	22.79219528	21.66194598	41.3776528	17.70056942	12.32154246	45.81676827	34.38392195	5.254056441	5.879614543	0.888289889	9.062491791	58.75527738	8.596477203	22.33192529	53.55508087	14.98039027	35.69180773	9.420542046	24.5748035	30.79500632	49.57387222	32.43966622	12.08863744	9.334123106	27.90429887	7.675826035	22.31433592	4.976958525	50.49645744	39.4483063	6.468980905
Faecalibacterium	8.298117557	15.90909091	14.79809976	12.20387653	9.489704566	15.7450675	2.300367682	0.309922281	0.275120365	0.433056658	2.991325157	0.211872423	1.10701107	0.292584804	0.20045819	0.449960298	0.230282096	0.27464144	0.461674541	0.518168275	0.097595155	0.094756154	0.058193013	0.274143538	4.939550391	7.910093681	10.79984486	19.04006605	4.701924731	8.063834497	5.404947475	5.710029791	8.126697626	10.19644048	4.215535908	6.639946981	17.22657402	7.69107771	11.81772554	11.26964281	16.4348657	5.410814216	11.2559125	0	8.081407346	7.193581342	20.19989649	5.658217123	8.217417053	10.23667874	8.158953037	21.86636868	6.035963065	9.073471966	17.30756158	21.05784396	6.517892397	12.62097221	6.514558786	9.210683058	11.27259348	6.142581104	43.66766388	6.726380891	16.42509751	0.316392125	64.46842906	27.29998983	47.27292134	3.527138749	39.28450404	6.235420779	52.5613897	13.06105525	59.70955591	16.60250241	18.91779684	54.8399842	49.10394265	30.22555695	6.502819445	25.97614511	9.440657554	8.312738912	7.031920502	42.78625498	1.600099956	5.613793917	7.238428256	4.818517192	2.719032209	10.9576818	6.259108092	6.306997235	16.22124829	7.829034092	9.267866559	8.14587213	8.233462948	7.448204397	9.750322082	4.099092882	1.485122667	0.741531914	1.889757903	18.78719089	21.18962179	0.015897142	11.32288515	35.69941827	12.24474548	13.56893428	3.442911978	0.131943572	8.088499706	8.326061947	4.118241482	9.837937786	37.3278895	9.107869742	26.34592344	8.748146579	24.30400691	28.96657422	26.35030053	19.68257338	39.5082878	22.18191131	13.66422239	11.89081886	29.87858305	14.65298528	3.847108464	9.309235967	8.305878273	8.050440352	6.450850662	5.718488554	13.04748307	13.08242878	11.41024329	9.38252494	12.34580844	17.55448477	11.87280281	3.973749717	8.093930432	10.67367518	0	7.930486143	2.598155613	11.22958103	4.137837163	7.233015873	14.80068614	5.348325796	8.173610776	1.534148019	5.843124802	1.978216347	12.34406377	5.757798072	0.966812507	4.619189803	0.180440274	0.066896516	0.076219512	0	0	0	0	0	0	0	0	0	8.069106706	15.63840028	21.95620252	10.76292325	14.03542062	24.50761205	3.874730022	15.29391059	12.58273483	13.55338691	17.07273218	12.76400367	15.63812502	10.00755659	17.78154107	7.424121516	2.981151238	15.71675827	26.59724515	14.39638009	20.38777908	8.273136159	6.514505319	21.84717944	5.9347847	4.234184748	9.186165043	6.694295928	5.846769276	5.372596852	9.290805515	2.826425181	5.837959959	12.61052729	4.10881617	7.151691846	4.831059056	21.05853784	3.849913877	7.182895825	8.32961202	0.829618258	11.88477629	7.745941269	8.27193862	6.460383533	6.464550896	19.03684691	6.595911601	4.658599165	7.960429553	4.201434965	6.613232752	11.34804285	16.47475264	5.514415667	11.30688708	7.80420974	7.199880251	12.56758248	4.936215622
Prevotella	0.499423742	0.515463918	2.731591449	2.368987796	0.693822739	0.37642783	11.75638729	0.219329614	0.125054711	0.195906583	0.362698175	0.189171806	0.068529257	0.277346012	0.050910017	0.211746022	0.199803583	0.231919439	1.115353915	1.332124274	1.614073722	1.032237253	1.452948133	1.283748015	1.333613867	15.243554	26.91309407	0.26073353	0	0	51.47972439	30.69938998	0.067905021	0	0.108264165	47.80824944	0	1.512175065	0	14.86357285	0.074317868	56.66901382	0.268525818	0.102963048	57.66611638	0.122094037	0	53.98090266	13.05773425	0.012933264	0	0	45.46573789	0.08888681	37.82375201	0.473168764	32.98869569	0.022145942	0	0	3.426390103	9.834231669	4.644937805	3.668159522	5.840997737	7.307151466	2.420121719	3.105621633	6.404098623	0.552659957	5.576802053	2.655661224	11.67757492	4.509173836	7.945083267	3.950112287	1.517667682	0.671671276	4.765510626	5.488397944	0.39175388	0.119808096	36.4879242	37.23731251	0.411694745	0.275558405	0.500021225	0.052652676	0.126099166	0.87233724	51.59076148	0.105326925	0.135320228	3.367172402	0.163505745	0.652465765	0.745547319	0.466727308	0.345437315	0.217637421	0.564504409	36.09804566	45.63572759	0.223748814	27.50150364	3.377726787	0.050154348	0.526415104	21.11476446	12.70665437	0.051562583	2.154698791	0.816225384	0.436688328	29.47834389	0.588035036	30.89593608	0	0	0	0	0	0	0	0	0.031848824	0.02778035	1.980451577	51.97001204	0.155500414	0	23.80898686	14.44940846	0	13.88937056	0	27.44565217	20.75020686	34.17768157	12.41408731	34.5105265	43.13295494	33.20054513	6.949294903	37.50798977	52.09323376	0	1.147822356	0	0	0	0.883967831	0	0	0.29698661	0.423218954	1.298701299	6.752896366	0.841536996	0.01396388	0.8489016	0.022768094	0.277451713	1.79375195	0	0.005145886	0.025406504	0	0.007398912	0	0	0	0	0.027410402	0.004980328	0	0	0	0	0.048739929	37.42567995	10.76599595	15.0237581	3.937245437	0	0.060275545	44.19970631	5.723905724	0	28.67233959	0.004704111	9.163204095	0	0	0	4.980995475	0	0	0	0	45.859117	18.83640026	0.090083683	44.74042203	0	29.83098101	0	10.03311126	0	0.090273598	1.150468528	0	0	0.459913904	29.95205065	43.28115907	42.86164596	0	2.398273243	0	0	0	0	0.261017097	32.43483281	0	0	0.107959785	47.94593745	14.95631571	0.074633231	56.17787468	0.269741889	59.12068751	0.122243289	0.022067748	1.332276997
unclassified	0.42258932	0	0.095011876	0.143575018	0.134288272	0.06490135	3.35156029	7.676536499	1.80704058	15.28071351	0.467394556	29.08327343	4.164470216	0.472402548	54.86508846	49.46328265	18.3040401	11.29691791	2.649235217	0.416693655	0.19769275	0.735872261	0.157684294	1.82069122	3.667438134	4.341200713	3.341388466	1.964192595	2.033678014	6.405586525	2.185699763	7.306000851	2.54534303	3.921116069	3.538884879	2.351121911	2.540067517	4.694138608	4.837090635	4.179843593	5.393353859	2.294036986	11.37908948	9.392518019	1.635369377	6.403707672	2.002199508	3.208078588	1.624994583	5.126745991	3.053643242	4.145143267	4.957071116	7.122640406	2.327162312	2.664783773	3.559468273	5.846528624	7.18920565	3.40218712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.107243855	3.470442601	7.386363636	3.853632667	1.996399068	2.988993598	3.028754926	4.283132277	2.924783693	1.055653301	2.240812668	2.287402867	3.953680728	1.50206534	4.284828325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.761639133	1.766365688	3.066787824	3.238721078	1.070785774	2.778975069	1.213968254	2.347730357	43.98987594	3.922657268	4.224197217	4.672685206	3.460714951	2.002069007	2.570264869	1.438480418	3.901689024	0	0	0	0	0	0	0	0	0	0	0	0	9.871673241	0.735101076	11.20475005	5.708305857	3.115117015	6.736399446	11.06911447	1.898224971	5.539125945	5.608495982	5.562048608	5.769819406	7.369937766	0.683378782	5.374447267	8.742192015	10.27869881	4.533446695	7.676379678	47.76108597	2.017234626	3.049611558	7.151895768	4.145394709	4.902369425	3.845097501	7.209065263	2.834635705	7.739590702	2.651449149	4.177560063	4.11696653	6.167231475	3.710476367	4.886424962	4.172188356	7.598408381	2.603112697	3.828965132	1.819462738	1.147915627	2.149331286	5.798491753	8.623848542	2.297397445	2.410914078	2.157592711	1.964153652	3.599923028	2.037299429	6.421131102	3.528935472	2.366808109	4.173453774	5.307488912	2.289215502	11.42072311	1.554365425	6.356651033	5.878848064	3.610405989
Roseburia	1.69035728	2.647610122	5.296912114	1.076812635	5.326768129	2.699896158	0.641086075	0.143041053	0.05627462	0.087642419	0.329045767	0.030267489	0.358460727	0.124958093	0.073183149	0.088227509	0.104981544	0.042722002	0.338705154	0.189995034	0.40289282	0.26209149	0.533123088	0.406488694	0.537329859	6.322187397	4.543691638	2.937597775	13.6680747	6.81209877	5.325878233	2.380952381	4.416016823	0.153869826	3.726091664	4.184681415	0.419520829	0.593905615	2.996779455	3.824373023	7.072937679	2.294036986	0.135494679	0	2.553652497	0	2.898175702	2.047125094	1.645216738	1.105794102	2.532206394	2.804191528	3.369512393	9.178732661	1.842242415	3.310347357	0.07750691	4.382681874	1.302443252	6.125366307	0	0	0.031491104	0	0	0	0	0	0.875226812	4.587526959	0	3.996949578	0	0	0	0.429098492	1.40234339	12.57408139	0	0	3.213266712	1.012022637	5.742804427	4.741526622	2.831544966	13.8393221	2.306200728	15.45557651	22.31565124	11.91383371	3.816522933	16.23129083	4.195788364	4.949967189	4.516340782	2.391052835	8.070291365	3.693122025	1.565788334	4.813277607	16.09886586	4.410479236	4.020481207	5.193012385	5.430392417	1.6143487	1.210735784	0.226954314	2.079626033	1.934733258	3.878979461	8.142033388	14.41430279	0.11962	3.689261257	18.12546712	6.862000245	2.316728301	0.121617513	4.532734057	4.875964881	2.435924592	2.701244515	5.386075026	5.53991005	1.088168162	7.449763867	3.162747023	1.915289482	8.314309347	3.563232778	1.730845126	1.443699843	0.586152155	2.202184845	2.738190552	2.110901071	0	3.058075807	2.223064891	1.201078241	1.117991056	2.669741762	0	5.37711729	1.412084182	10.62526405	3.840377601	0	1.837801	0.151858192	1.207481831	6.692225675	3.992380952	0.148493305	0.618231609	1.066962777	1.129450352	0.421902645	8.524948799	4.615712286	1.664600673	0.512218547	0.784348679	1.068206424	1.43055627	1.930894309	0.233203076	0.806481447	0.915160585	0	0.021792427	0	0.280956623	0.009960655	0.12108902	2.546562141	0.433184563	11.87192747	2.766707761	0.667299178	7.915468966	1.589632829	1.594006135	0.075106792	2.623421355	3.901825047	15.85552495	7.648916276	0.640667609	2.511995484	1.810627115	0.155330525	0.434214921	3.036941452	2.917647059	2.921399661	2.531688701	1.302901064	2.801569554	3.334508961	2.700723245	9.295213712	3.45154861	2.822157719	4.861474124	1.510856703	8.730601987	4.443963756	10.2842461	1.305009076	1.48202138	0.204572533	3.318738732	0.830966901	3.697123779	4.644198692	0.46057099	0.823407147	9.229477327	0.688783295	2.155867279	4.69158148	2.938617479	0.07845227	13.47796117	6.818044446	3.720114257	4.158415842	3.847672639	7.100818833	2.323046273	0.133633596	2.466060531	0	4.358380227	0.535174376
Blautia	5.339992317	4.217432052	5.463182898	6.173725772	5.214861235	3.971962617	1.117186763	0.491107615	0.312636779	0.335103366	1.40966198	0.306458325	1.001581444	0.222486361	0.111365661	0.647001735	0.348809645	0.262435154	0.399111169	0.200790207	0.110107355	0.038305679	0.10887725	0.032140966	10.33227054	3.830369357	1.357439064	9.860073005	6.273055678	6.715501801	1.361120524	3.728661276	8.251555244	3.75185926	3.678726092	1.754662795	6.492740323	12.67988487	5.154962566	3.782697164	1.898290689	0.915391172	8.247930627	2.79334935	1.178807264	3.323947873	3.186052529	1.284605345	1.593216911	2.715985515	6.189080499	4.0924329	0.900696582	2.065448761	1.581654619	4.786707259	1.118731811	3.098217252	3.673077374	1.255569056	0.938232995	0	0	0	0.250397265	1.004419446	0	0	3.725050699	2.844176851	0.730987075	2.817154136	0	0.036280709	1.194488501	0	0	5.407941525	0	0	4.072858067	1.231758953	1.774313372	1.090350225	3.759958625	1.820155515	5.342490111	2.490049517	3.874473411	3.925995406	0.811321394	3.253554407	3.328474044	2.247780649	7.365213584	2.03904803	3.038672938	2.314774017	1.12593824	5.447664404	1.432387138	3.179894133	1.2784503	1.093497853	1.623245844	3.285980741	3.500675117	1.755535566	2.987534438	3.077468785	5.209715022	4.437154716	2.120120911	0.09629862	1.844791045	6.067633572	2.330492153	3.861213835	2.254267472	3.943351425	1.184373343	2.065240415	3.381051723	1.605605021	1.508973982	1.507511014	2.273358644	2.770071279	1.132756922	2.636889992	2.495097426	2.593448723	0.206833788	0.993202263	6.970695336	5.308246597	3.784656585	5.332352671	0.534242159	4.583590084	5.142116218	1.096491228	3.127511619	0.636576632	2.656599553	3.480425436	9.164202225	0.767002789	1.687358916	1.029077692	0.648848639	0.706262958	2.311653547	0.271746032	0.59397322	1.024853741	1.269733983	2.306512194	1.553781246	0.840160119	6.794255462	1.530521895	3.553516167	2.326306876	0.245398773	0	0.06351626	0.315139292	0.129480966	0.149648901	0.255288111	0	0.07696075	0	0	0.01562439	5.008238878	1.146407631	1.982378855	1.069411394	1.043643264	0.849036517	1.144708423	3.522401569	2.19687368	1.446613088	0.572387545	1.434802571	2.014163524	0.59467096	1.422993696	2.691175257	1.120172058	0.835028695	1.233382349	1.585520362	3.205379292	6.181000409	3.674368468	4.094763934	0.891339895	1.439622814	2.090889695	1.749501724	0.641510354	1.025149561	4.871068057	1.222723102	2.12704593	3.772973473	5.693470049	0.934269812	1.735494459	4.799661503	1.529258414	0.597298374	1.854527306	0.800094476	6.603245663	1.206168253	1.179214438	2.723707322	2.278944446	9.85557054	1.130896872	6.288055758	6.723349384	3.668383527	1.747603332	3.808184017	1.902081201	0.928466714	8.275384197	1.138373396	3.323021655	3.087277943	10.30574464
Phocaeicola	1.997694967	18.32239925	20.57007126	5.025125628	8.661593554	17.88681205	0.589233525	0.872550422	0.187582067	0.206217456	2.606192043	0.143770572	3.252503954	0.237725153	0.136820669	0.526424139	0.257374107	0.335672872	0.489720191	0.239652827	0.635619729	0.173383601	0.527491506	0.200408379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.89805434	8.905919395	2.734731673	11.47657397	12.78313738	6.87705975	4.627979563	15.93701957	13.71564008	19.45546904	13.09838871	17.34701323	18.5250415	5.639737002	1.773039116	25.75637948	25.16998622	23.22142783	9.070945835	7.938992551	11.94372294	12.46025339	19.98658722	42.58367102	7.366055259	14.31849047	11.69796068	44.03301436	27.07664514	8.875425653	11.23643391	10.92601235	25.37913695	0.918332081	5.264552394	23.55721343	13.34529452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium	2.1129466	3.88940956	2.042755344	1.722900215	3.267681289	2.686915888	0.179126992	0.26224193	0.26886763	0.134041347	1.0731379	0.211872423	0.78017923	0.234677395	0.066819397	0.388201041	0.138846558	0.067134574	0.060406015	0.045339724	0.157653712	0.006048265	0.093859699	0.039703547	2.398562804	0.855426068	0	7.050669216	13.80760336	0	0.024473813	0	0.698764567	3.22100836	1.759292674	0.542809354	1.661695782	14.27886153	9.038437409	0.174058003	0.23569381	0.074120743	0.862238865	0.015253785	0.018056129	0	1.808125243	0.480868311	0.277332409	2.201241593	1.209869811	0.784330262	0.605864248	0.084208557	1.006095488	0.051351649	0.116991562	0.219244823	1.150179203	0.426464632	0.662282114	0.330519679	1.527318533	0.396673065	0.539317186	1.406187224	3.998668695	0.76751042	4.856441456	0.47178289	0.697100257	0.959985645	2.416219674	0.108842127	1.6851705	0.661693936	0.664267921	1.343342552	2.019284164	1.986939002	0	0	0	0.012111784	0.000280064	0.034501052	0	0	0.000150047	0.000202714	0	0	0	0	0	0	0	0	0	0	0	0.000496471	0	0.000639571	0	0	0.013128638	0.007496213	0	0.003405221	0.006629475	0.003403206	0	0	2.67361E-05	0.045831482	2.65647E-05	4.704154884	0.999000999	1.496777476	0.827882859	2.44122008	6.114668009	5.951685885	2.084821992	0.42465099	1.416797852	0.977421145	0.257196016	5.657568238	5.169608211	0.062017252	0.140646976	5.413766435	0	3.602882306	8.482986767	1.231957341	1.446138258	1.251362753	0	0.055899553	0.2515987	0.738252067	0	0.095044128	0	9.584853036	4.193002257	7.560199909	9.337898283	2.132458479	24.63646469	0.050793651	3.983716941	6.468611261	10.43547531	10.5591705	17.40008166	0.595792217	1.214020568	12.24164537	0.367089958	7.616203931	0.173222663	0.066896516	0.165142276	0.138661288	0.140579335	0.402900886	0.222870573	0.30509398	0.1539215	0.260398821	0.189252453	0.414046326	5.926998552	0	0.804443593	1.513804868	0.265654649	1.461194507	0.142548596	8.045456831	0.481152889	15.97301952	0.116874944	0.133914907	0.113430823	19.62414167	15.48828676	3.513937426	13.90208203	15.84428992	2.466764697	5.190950226	1.824650738	1.209622461	1.150583493	0.784777014	0.599570361	0.968140621	0.085342437	0.354329463	0.370758836	0	0.817348708	0.075796864	0.432619511	0.68052405	0.105480057	0.52124746	1.200458602	0.051510357	0.402681439	0.245045487	0.493840132	0	0	0.155224184	0.682244213	1.222299752	0.152203871	7.053987036	0.116938289	13.81687282	0	1.754346506	0.540625491	0.175230762	0.236693961	0.075179491	0.866143681	0.017436792	0	0.218470705	2.396158386
Agathobacter	0.768344218	0.492033739	0.166270784	1.076812635	0.447627574	0.50623053	4.855284246	0.185953369	0.062527356	0.149507656	0.381393958	0.06810185	0.474433316	0.146292402	0.060455645	0.138223098	0.098208541	0.054928288	0	0	0.00250244	0.002016088	0	0.013234516	2.210821046	9.795840621	1.697544676	5.458021902	0.202603261	0	0	2.61975694	3.307631648	1.51305329	6.964994587	0	14.15227295	0.813193842	0.257225313	1.48807335	6.348869307	0	7.52364998	2.066887847	2.52527858	2.828096579	3.519213352	3.526367612	0.77855296	0.318158303	1.032649444	1.480107107	0	0	0.999297546	0.900487841	0.617130489	0	1.524983017	1.734448336	0.694476383	0.132207871	1.049703459	2.294732352	1.825010834	0.080353556	0.917649296	14.64877503	5.99850571	0.008986341	1.616885317	0.098690113	0	1.109153105	2.988699445	0	10.66980349	1.516199131	3.362108133	2.885461535	0.357905211	0.403270588	7.457878795	4.274643663	2.289775843	4.967801518	0.312002672	1.816481962	4.033582831	2.969647599	6.712271903	7.954341598	0.330167577	19.5682843	0.313965147	0.352559892	3.79434344	0.31473469	1.806125586	3.74700144	4.740445623	2.928613818	0.66930796	0.9937248	12.71061943	0.423613169	0.33559159	0.030049475	0.74084278	0.45530647	11.92505747	8.291383278	2.585797885	0.064872005	2.070042706	5.231552828	2.415764752	1.359582336	6.028753855	1.594301221	0	0	0.190633767	0.145964093	1.853642134	0	0.148161867	0	1.154645945	1.29693962	0	1.91125895	1.385786382	0	0	23.22257806	7.801669817	2.57423922	2.187629531	14.01621084	3.606646876	7.176642587	0	0	1.130552892	0	0	4.280197383	0.767494357	0.231712858	0.196035121	0.289339986	0.111159003	63.69777778	0.325149133	0.43566657	0.852121856	0.518436227	0.446853877	8.708806554	2.67449644	13.31174581	1.81837584	15.1633317	0.108264165	0.313899038	0.381097561	0	0	0	0	0	0	0	0	0	5.727268188	6.576529273	0	19.94323232	8.678051866	1.64750346	0.345572354	2.524262081	0.999859175	0	0.347628038	3.63865932	17.80250774	3.354469889	0	0.060537685	0.062729635	7.290559621	2.442757255	1.947511312	3.551377464	1.032438326	1.537235788	1.487279018	0.452082465	5.24581159	0	0	7.024904261	0.8160539	1.731017971	1.352375633	1.865070781	2.819313921	5.791591032	4.061754572	0.352943821	0.903270908	2.364880592	3.035500965	0.197010691	0	1.052575479	8.924118276	3.877675574	1.494189264	3.39373496	5.505285596	0.624657696	0.342741163	0	6.97240278	0	1.49809961	6.371545548	0	7.53792472	2.498443144	2.816585171	0.083857442	2.202137464
Megamonas	0.230503265	2.811621368	1.425178147	0.287150036	0.537153089	4.075804777	0.037710946	0.190721404	0.062527356	0.221683766	0.026174095	0.045401233	0.021085925	0.051811892	0.01590938	0.032350087	0.006773003	0.030515716	0.949237374	2.288576549	0.608092891	0.495957743	0.465544105	1.332904787	1.231650671	7.615716289	2.870014022	0.032591691	0	0	1.37241613	0	2.49715237	0	0	0	2.077939104	0	6.807060103	2.49564855	0	4.684430938	0	0	1.841725134	0	0	0	3.507099421	0	0	2.262328955	12.47367568	0.037426025	0	0.077027473	13.31217736	3.543350681	0	0	0	9.249466084	0.855508319	0.324162935	0.789714451	0.030132583	0.570559148	0.10673986	1.147401003	0.287562904	0	1.327830612	0.44289159	11.10707992	2.175852498	9.608598011	0.507426884	0.345713157	0.86829219	0.768838868	0.017654517	0.05822135	0.022362455	1.627349884	0.015154599	0.01410043	0.014336665	0.010115539	0.011733644	0.007239794	7.087985632	0.048530042	0.011122885	0.013177972	0.014120376	0.006449589	1.443518322	0.004398828	0.007040438	0.240010968	2.85413837	0.53767765	0.005273136	0.005453183	10.98645406	0.701359668	0.015538014	0.031794283	0.014272165	0.017380817	0.020730263	0.006376122	0.013319807	0.058243189	2.054963544	0.020880969	5.049731723	0	0	0	0	0	0.028774908	4.273098818	0	0	0	2.121302659	0	0	0	0	0.521221147	0	1.252817756	4.027221777	0	5.838006803	0.727674665	0	0	0	3.169444736	1.516290173	1.554010866	18.67843403	0	0	0	0	0	0.013669606	0	0	0.025602294	0	0.062762516	0	0.056707345	0	0.161260878	0.017708518	0.168605272	0	0	0	0	0	0	0	0	0	0	0	0	0	3.754930843	0	15.27485156	0	2.988614801	5.826147131	14.42980562	0	0	8.785878301	0	3.298132844	0.171679083	0	0	0	0	0	0	0	0	0	0	2.261507953	12.34088942	6.854801794	0.037929972	7.09608023	16.00604922	4.164488587	0	0	3.105246713	0.023147077	1.133297356	0	0	0.077265536	0	16.79480504	0	4.11266275	2.74469049	5.901063667	3.476611884	39.87392026	0	0.032627137	13.47158696	0	0	0	0	2.512463596	0	4.751343833	0	1.776061776	0	3.8353746	1.230416013
