"","observed_species","richness","chao1","ace","shannon","simpson","pielou","goods_covers","name","group"
"Sample3",81,81,98.7692307692308,101.982532563063,3.35125133001669,0.944556646425647,0.762610104716639,0.984206748025844,"Sample3","HC"
"Sample4",61,61,86.5,82.888,3.03713558727938,0.921096096831197,0.738805345926162,0.987078248384781,"Sample4","HC"
"Sample7",88,88,109,106.079808034127,3.58478670973556,0.955910719632415,0.800651561022517,0.984924623115578,"Sample7","HC"
"Sample8",67,67,80.3333333333333,82.5155226495183,3.00234684497372,0.9030178067035,0.714046689436385,0.98851399856425,"Sample8","HC"
"Sample9",64,64,69.5,72.2366867674537,3.1534187228407,0.924816885164207,0.758236925548115,0.992103374012922,"Sample9","HC"
"Sample11",61,61,79.2,71.017608303263,2.89390310272225,0.911097380039362,0.703963001137766,0.989949748743719,"Sample11","HC"
"Sample12",67,67,86.125,83.4714954429909,3.12946408415432,0.927591500729986,0.744278920585546,0.987078248384781,"Sample12","HC"
"Sample13",73,73,119.2,95.7622613766003,3.20475659861307,0.934507425858654,0.746949514981378,0.984206748025844,"Sample13","HC"
"Sample14",56,56,62.1111111111111,62.4351810598748,2.75841850429607,0.892317190505909,0.685261491721311,0.992103374012922,"Sample14","HC"
"Sample15",70,70,78.75,83.4466466975937,3.00557149524603,0.89861882481838,0.707443771031793,0.989231873653984,"Sample15","HC"
"Sample17",63,63,113,111.124422831894,2.56350906557338,0.80457770340782,0.618736593151068,0.98205312275664,"Sample17","HC"
"Sample19",58,58,64.875,66.2563246519121,2.9353581188816,0.910435677515874,0.722915728962929,0.992103374012922,"Sample19","HC"
"Sample20",59,59,65,66.2898522167488,2.37312665837626,0.777948814939223,0.581999967142701,0.991385498923187,"Sample20","HC"
"Sample21",82,82,95.1538461538462,100.684196630317,3.49500438099192,0.952627974247197,0.793108020930007,0.986360373295047,"Sample21","HC"
"Sample22",68,68,83,80.0641070234114,3.15892355283511,0.93508564254974,0.748647418977344,0.98851399856425,"Sample22","HC"
"Sample24",63,63,75.3636363636364,80.14460641225,2.8535274475428,0.900188564605408,0.688736339990584,0.987796123474515,"Sample24","HC"
"Sample26",69,69,79.9285714285714,84.5686102018681,2.69472598938646,0.868251626298862,0.636433208862511,0.987078248384781,"Sample26","HC"
"Sample30",53,53,72.125,72.4901387874361,2.25107243949844,0.796217782585371,0.566979075723542,0.987078248384781,"Sample30","HC"
"Sample32",59,59,66.3333333333333,69.3629724643516,3.07262989784707,0.931076261215832,0.753550381846135,0.991385498923187,"Sample32","HC"
"Sample33",64,64,76.3636363636364,82.7437324496613,3.08548872708776,0.931185514280458,0.741903214214719,0.987796123474515,"Sample33","HC"
"Sample34",71,71,86.3,87.2371792538671,3.0815167344849,0.91724853371565,0.722905970744336,0.987078248384781,"Sample34","HC"
"Sample35",79,79,96.2727272727273,99.8494401429584,3.25983274311988,0.934857860216888,0.746051412715535,0.985642498205312,"Sample35","HC"
"Sample37",66,66,81,78.5681860192496,2.97565084342309,0.913127837938539,0.710237722830557,0.98851399856425,"Sample37","HC"
"Sample38",61,61,71.1111111111111,72.2566844919786,2.90582892129177,0.907504397178179,0.706864043340363,0.989949748743719,"Sample38","HC"
"Sample39",35,35,44,42.0909090909091,2.16543204537828,0.815118562765628,0.609063306300068,0.993539124192391,"Sample39","HC"
"Sample44",67,67,101.2,86.7851333030973,2.79977133769367,0.858281768807116,0.665868255097136,0.986360373295047,"Sample44","HC"
"Sample46",51,51,64.75,58.414,2.73612250582603,0.891040166476934,0.695891110494185,0.992103374012922,"Sample46","HC"
"Sample48",83,83,125,115.635449101796,3.28127310682331,0.933603511352269,0.74256426018939,0.979899497487437,"Sample48","HC"
"Sample49",65,65,99.2,84.8536667721853,2.98024138134135,0.910541838512633,0.713935049302662,0.986360373295047,"Sample49","HC"
"Sample50",73,73,81.2727272727273,83.2439215686275,2.99797889285909,0.886215509915489,0.698754745029509,0.989949748743719,"Sample50","HC"
"Sample52",73,73,85,85.5759944109909,3.21004070991578,0.931091721555166,0.748181110658997,0.98851399856425,"Sample52","HC"
"Sample53",52,52,61.75,65.1481481481482,2.69760125365119,0.889472488068483,0.682722060642637,0.990667623833453,"Sample53","HC"
"Sample54",71,71,97.25,90.9344868517166,2.79441379359607,0.857574715954916,0.655553284366182,0.984924623115578,"Sample54","HC"
"Sample56",76,76,101.666666666667,99.5686677652427,3.26827965391007,0.937077964945227,0.754671183170558,0.984206748025844,"Sample56","HC"
"Sample57",74,74,80,83.2847402278109,3.36209172122075,0.946213994802234,0.78114332576644,0.990667623833453,"Sample57","HC"
"Sample58",63,63,93.6,79.2553752018356,2.70492985341838,0.851811101451262,0.652870358327507,0.987078248384781,"Sample58","HC"
"Sample59",68,68,90.6666666666667,83.2032288344741,3.01703646954044,0.908826771535866,0.715020964611445,0.987796123474515,"Sample59","HC"
"Sample61",72,72,89.1,90.4357751081237,3.13015864701978,0.926597916255465,0.731915599654047,0.986360373295047,"Sample61","HC"
"Sample62",69,69,82.3333333333333,81.9472373838935,3.04801156328147,0.91563241291062,0.719871255003159,0.98851399856425,"Sample62","HC"
"Sample63",66,66,84.2,78.5630713929521,3.32770662322779,0.942436518558334,0.794267506066208,0.989949748743719,"Sample63","HC"
"Sample65",77,77,87.9285714285714,90.7413494809689,3.0961563310881,0.907318873106173,0.712775097040797,0.987078248384781,"Sample65","HC"
"Sample67",60,60,67.8,72.2162025485514,2.79067942879327,0.895441209740632,0.681593692563748,0.990667623833453,"Sample67","HC"
"Sample68",64,64,81,82.6080290000744,2.93016936565559,0.909901780464212,0.704556802132679,0.987796123474515,"Sample68","HC"
"Sample69",73,73,78.0769230769231,79.6551467040919,2.98405570135652,0.892598568681784,0.695509593386997,0.991385498923187,"Sample69","HC"
"Sample70",61,61,67.4285714285714,67.80221791559,2.96362284054832,0.899302171816935,0.72092283501486,0.992821249102656,"Sample70","HC"
"Sample71",66,66,72.5,77.4337140662328,3.00980933035433,0.911190142075365,0.718390778161965,0.989949748743719,"Sample71","HC"
"Sample72",76,76,115.428571428571,98.2419360560067,3.25692116603814,0.936793494701484,0.752048420007962,0.982770997846375,"Sample72","HC"
"Sample74",72,72,89.1428571428571,83.5236866359447,3.06792584318101,0.916654856685231,0.717363889956145,0.98851399856425,"Sample74","HC"
"Sample75",78,78,91.1538461538462,97.2862156226127,3.24178080966416,0.934128132200331,0.744089389174855,0.986360373295047,"Sample75","HC"
"Sample77",66,66,72.1764705882353,80.065429866026,2.79157360129302,0.876118877641206,0.666301586450728,0.989231873653984,"Sample77","HC"
"Sample78",69,69,90.1111111111111,98.6698076774542,3.27648557685925,0.94228706861144,0.773831639166786,0.985642498205312,"Sample78","HC"
"Sample80",70,70,77.0909090909091,79.5245482877718,3.18753575977811,0.934537315848033,0.750274056618816,0.990667623833453,"Sample80","HC"
"Sample81",44,44,45.6666666666667,48.0176368561573,2.42681783038971,0.843451180628813,0.641304497173655,0.995692749461594,"Sample81","HC"
"Sample82",64,64,79,78.1456769710111,3.11294720119611,0.925679572099035,0.748505581619134,0.98851399856425,"Sample82","HC"
"Sample85",45,45,54,51.2764425936942,2.6339287523206,0.882156655495713,0.691926000636721,0.993539124192391,"Sample85","HC"
"Sample87",56,56,66.1111111111111,69.0046209611434,2.43771456679414,0.843957249069674,0.605590456209043,0.989949748743719,"Sample87","HC"
"Sample89",74,74,78.125,81.6560180315552,3.19533078886691,0.926369103233324,0.742398341956333,0.991385498923187,"Sample89","HC"
"Sample90",54,54,61.2,60.0253246753247,2.59655980026915,0.847926433521314,0.650932610900155,0.993539124192391,"Sample90","HC"
"Sample91",65,65,89.4285714285714,86.1696227709191,2.94308354077308,0.904202068696472,0.705033661346581,0.986360373295047,"Sample91","HC"
"Sample92",66,66,71.5714285714286,74.890625,2.99926608350124,0.912729991873015,0.715874282769795,0.990667623833453,"Sample92","HC"
"Sample96",75,75,90.1111111111111,86.8311389465236,3.01995911483451,0.900511170352841,0.699471321152281,0.987796123474515,"Sample96","HC"
"Sample97",64,64,77.9090909090909,79.4516254697404,2.53462442082032,0.843733589493978,0.609448347072255,0.987078248384781,"Sample97","HC"
"Sample99",63,63,93,87.5009562894853,2.88891327667149,0.907953777708149,0.697277174760762,0.984924623115578,"Sample99","HC"
"Sample100",70,70,108,89.4711933573271,3.15770412233653,0.916535296727716,0.743252361702855,0.985642498205312,"Sample100","HC"
"Sample101",70,70,73.9285714285714,76.8829772094892,3.06460559054432,0.916506437427626,0.721339066173942,0.992103374012922,"Sample101","HC"
"Sample102",64,64,81,79.2717465434931,2.57830844572842,0.832319736308452,0.619952134755754,0.987078248384781,"Sample102","HC"
"Sample103",58,58,69.6666666666667,70.3401566393734,2.84733306351139,0.91311753104565,0.701237046331115,0.989231873653984,"Sample103","HC"
"Sample104",74,74,95,98.6290242239933,3.19883682228436,0.935941114659545,0.743212928478965,0.984206748025844,"Sample104","HC"
"Sample105",64,64,81,83.9672769175146,2.94382198126153,0.915206738234295,0.707839562270989,0.987078248384781,"Sample105","HC"
"Sample106",68,68,73,76.3950695129959,2.95032001695761,0.877809208075038,0.699209534168745,0.992103374012922,"Sample106","HC"
"Sample110",50,50,65.1666666666667,63.617,2.63618046200564,0.874447099614574,0.673866298420995,0.989949748743719,"Sample110","HC"
"Sample111",59,59,62.2727272727273,64.4433362484609,2.95532034620131,0.898318894235303,0.724780676292335,0.993539124192391,"Sample111","HC"
"Sample113",68,68,81.2,75.603330111979,3.27140252001896,0.935738068869628,0.775304312397841,0.991385498923187,"Sample113","HC"
"Sample114",61,61,68.8571428571429,68.4977375565611,2.93568789898957,0.901705739238702,0.714127457077774,0.992103374012922,"Sample114","HC"
"Sample115",50,50,63,62.0335097001764,2.38772303699964,0.812288289978247,0.610355060204538,0.990667623833453,"Sample115","HC"
"Sample117",71,71,82.375,81.4326964675795,3.39026683475136,0.93786850362983,0.795336955282813,0.989949748743719,"Sample117","HC"
"Sample118",68,68,95.1428571428571,93.7911411555726,3.16870351065374,0.928679908619088,0.750965214915158,0.985642498205312,"Sample118","HC"
"Sample119",55,55,61,60.3626720481302,2.70038583216489,0.854332167451966,0.673861071027524,0.993539124192391,"Sample119","HC"
"Sample120",67,67,78,74.8569785525144,3.2985283485931,0.933735439581252,0.784487392343768,0.991385498923187,"Sample120","HC"
"Sample121",70,70,81.7692307692308,88.9533598906691,3.09968916670898,0.917651533227619,0.729596949063258,0.987078248384781,"Sample121","HC"
"Sample122",60,60,79,89.4739812578566,2.69300433664419,0.874648084025914,0.657737592847495,0.985642498205312,"Sample122","HC"
"Sample123",88,88,120.5,112.862199755549,3.49105516173599,0.952905229665918,0.779716895643654,0.981335247666906,"Sample123","HC"
"Sample125",64,64,74.1111111111111,74.4463157894737,2.92744840315194,0.903638281655431,0.703902548947604,0.989949748743719,"Sample125","HC"
"Sample127",62,62,84.6666666666667,77.8907033198682,2.89532802375198,0.894929987853327,0.701534709953563,0.987796123474515,"Sample127","HC"
"Sample128",64,64,79,79.2742974544695,3.12605773530986,0.932766591649665,0.751657998710686,0.98851399856425,"Sample128","HC"
"Sample129",76,76,88.3636363636364,89.5162982929021,3.21105197152124,0.93082992647578,0.741456866358099,0.987796123474515,"Sample129","HC"
"Sample130",75,75,115.625,110.018816380719,2.94446036124304,0.893668424163686,0.681984590070203,0.981335247666906,"Sample130","HC"
"Sample132",57,57,63.5,69.5523439901314,2.82168706482119,0.905928473255417,0.69791028554839,0.990667623833453,"Sample132","HC"
