	PCO1 (27.19%)	PCO2 (9.85%)
Sample1	-0.250510239	-0.072177542
Sample10	-0.27913317	-0.094179342
Sample100	-0.273512069	-0.09181571
Sample1000	0.232467461	-0.082643329
Sample1001	0.256688752	0.143877932
Sample1002	0.251781691	0.037659225
Sample1003	0.236487911	-0.159512252
Sample1004	0.244925012	-0.169318751
Sample1005	0.259830814	-0.16732583
Sample1006	0.262023007	-0.137172266
Sample1007	0.276414702	-0.076694042
Sample1008	0.261794954	-0.105645527
Sample1009	0.240105734	0.022478301
Sample101	-0.249813061	0.060673555
Sample1010	0.291393342	0.122257157
Sample1011	0.27734965	-0.168208054
Sample1012	0.267275139	-0.191455113
Sample1013	0.217324622	-0.197615923
Sample1014	0.262994366	-0.150384198
Sample1015	0.254355431	-0.160486677
Sample1016	0.216918594	-0.173943683
Sample1017	0.266263612	-0.164253576
Sample1018	0.222023643	-0.180726249
Sample1019	0.196054701	-0.153235973
Sample102	-0.220591803	-0.024100231
Sample1020	0.246655553	-0.172414033
Sample1021	0.269820308	-0.167652825
Sample1022	0.232792884	-0.163649247
Sample1023	0.181172091	-0.058968537
Sample1024	0.259969752	0.060860775
Sample1025	0.200370386	0.045009834
Sample1026	0.190897218	-0.054688217
Sample1027	0.23885018	-0.040634942
Sample1028	0.185829975	-0.021629861
Sample1029	0.181155494	-0.025002391
Sample103	-0.267417617	0.044140794
Sample1030	0.130465005	0.000672043
Sample1031	0.243343717	-0.03228776
Sample1032	0.185527829	-0.02004296
Sample1033	0.229384077	-0.004689203
Sample1034	0.240487785	-0.007643308
Sample1035	0.201858049	-0.017997661
Sample1036	0.157158193	0.045593687
Sample1037	0.214227447	-0.08762502
Sample1038	0.245647954	0.033696691
Sample1039	0.232077124	-0.010773599
Sample104	-0.30039391	-0.057145978
Sample1040	0.21702831	0.108658772
Sample1041	0.211397009	-0.005292381
Sample1042	0.217906683	-0.069026612
Sample1043	0.267862433	-0.054948649
Sample1044	0.213418536	-0.03795923
Sample1045	0.260995759	-0.025765344
Sample1046	0.254263565	0.01666301
Sample1047	0.198137275	-0.059549071
Sample1048	0.236909735	0.048732061
Sample1049	0.248073333	0.001825738
Sample105	-0.248966571	-0.03837448
Sample1050	0.228667385	-0.018226942
Sample1051	0.241465415	0.02228405
Sample1052	0.174835305	-0.073050313
Sample1053	0.232035734	-0.015153497
Sample1054	0.192483976	-0.039791348
Sample1055	0.204214544	0.113298305
Sample1056	0.192330056	0.022248569
Sample1057	0.209643483	0.027268462
Sample1058	0.24804003	0.036194167
Sample1059	0.237526929	-0.052740227
Sample106	-0.262806801	-0.015370888
Sample1060	0.201234373	-0.032560144
Sample1061	0.254806834	-0.01263343
Sample1062	0.284459931	-0.020140905
Sample1063	-0.244767999	-0.065975967
