	PCO1 (28.41%)	PCO2 (10.23%)	group
Sample1	-0.244575457	-0.06667303	PCOS-LT
Sample2	-0.244575457	-0.06667303	PCOS-LT
Sample5	-0.244575457	-0.06667303	PCOS-LT
Sample6	-0.244575457	-0.06667303	PCOS-LT
Sample10	-0.244575457	-0.06667303	PCOS-LT
Sample16	-0.244575457	-0.06667303	PCOS-LT
Sample18	-0.244575457	-0.06667303	PCOS-LT
Sample23	-0.244575457	-0.06667303	PCOS-LT
Sample25	-0.244575457	-0.06667303	PCOS-LT
Sample27	-0.244575457	-0.06667303	PCOS-LT
Sample28	-0.244575457	-0.06667303	PCOS-LT
Sample29	-0.244575457	-0.06667303	PCOS-LT
Sample31	-0.244575457	-0.06667303	PCOS-LT
Sample36	-0.244575457	-0.06667303	PCOS-LT
Sample40	-0.244575457	-0.06667303	PCOS-LT
Sample41	-0.244575457	-0.06667303	PCOS-LT
Sample42	-0.244575457	-0.06667303	PCOS-LT
Sample43	-0.244575457	-0.06667303	PCOS-LT
Sample45	-0.244575457	-0.06667303	PCOS-LT
Sample47	-0.244575457	-0.06667303	PCOS-LT
Sample51	-0.244575457	-0.06667303	PCOS-LT
Sample55	-0.244575457	-0.06667303	PCOS-LT
Sample60	-0.244575457	-0.06667303	PCOS-LT
Sample64	-0.244575457	-0.06667303	PCOS-LT
Sample66	-0.244575457	-0.06667303	PCOS-LT
Sample73	-0.244575457	-0.06667303	PCOS-LT
Sample76	-0.244575457	-0.06667303	PCOS-LT
Sample79	-0.244575457	-0.06667303	PCOS-LT
Sample83	-0.244575457	-0.06667303	PCOS-LT
Sample84	-0.244575457	-0.06667303	PCOS-LT
Sample86	-0.244575457	-0.06667303	PCOS-LT
Sample88	-0.244575457	-0.06667303	PCOS-LT
Sample93	-0.244575457	-0.06667303	PCOS-LT
Sample94	-0.244575457	-0.06667303	PCOS-LT
Sample95	-0.244575457	-0.06667303	PCOS-LT
Sample98	-0.244575457	-0.06667303	PCOS-LT
Sample107	-0.244575457	-0.06667303	PCOS-LT
Sample108	-0.244575457	-0.06667303	PCOS-LT
Sample109	-0.244575457	-0.06667303	PCOS-LT
Sample112	-0.244575457	-0.06667303	PCOS-LT
Sample116	-0.244575457	-0.06667303	PCOS-LT
Sample124	-0.244575457	-0.06667303	PCOS-LT
Sample126	-0.244575457	-0.06667303	PCOS-LT
Sample131	-0.244575457	-0.06667303	PCOS-LT
Sample134	-0.244575457	-0.06667303	PCOS-LT
Sample135	-0.244575457	-0.06667303	PCOS-LT
Sample137	-0.244575457	-0.06667303	PCOS-LT
Sample139	-0.244575457	-0.06667303	PCOS-LT
Sample140	-0.244575457	-0.06667303	PCOS-LT
Sample141	-0.244575457	-0.06667303	PCOS-LT
Sample147	-0.244575457	-0.06667303	PCOS-LT
Sample148	-0.244575457	-0.06667303	PCOS-LT
Sample150	-0.244575457	-0.06667303	PCOS-LT
Sample152	-0.244575457	-0.06667303	PCOS-LT
Sample155	-0.244575457	-0.06667303	PCOS-LT
Sample156	-0.244575457	-0.06667303	PCOS-LT
Sample160	-0.244575457	-0.06667303	PCOS-LT
Sample163	-0.244575457	-0.06667303	PCOS-LT
Sample167	-0.244575457	-0.06667303	PCOS-LT
Sample171	-0.244575457	-0.06667303	PCOS-LT
Sample172	-0.244575457	-0.06667303	PCOS-LT
Sample178	-0.244575457	-0.06667303	PCOS-LT
Sample181	-0.244575457	-0.06667303	PCOS-LT
Sample183	-0.244575457	-0.06667303	PCOS-LT
Sample185	-0.244575457	-0.06667303	PCOS-LT
Sample186	-0.244575457	-0.06667303	PCOS-LT
Sample189	-0.244575457	-0.06667303	PCOS-LT
Sample190	-0.244575457	-0.06667303	PCOS-LT
Sample197	-0.244575457	-0.06667303	PCOS-LT
Sample201	-0.244575457	-0.06667303	PCOS-LT
Sample207	-0.244575457	-0.06667303	PCOS-LT
Sample220	-0.244575457	-0.06667303	PCOS-LT
Sample223	-0.244575457	-0.06667303	PCOS-LT
Sample224	-0.244575457	-0.06667303	PCOS-LT
Sample225	-0.244575457	-0.06667303	PCOS-LT
Sample227	-0.244575457	-0.06667303	PCOS-LT
Sample229	-0.244575457	-0.06667303	PCOS-LT
Sample231	-0.244575457	-0.06667303	PCOS-LT
Sample233	-0.244575457	-0.06667303	PCOS-LT
Sample237	-0.244575457	-0.06667303	PCOS-LT
Sample238	-0.244575457	-0.06667303	PCOS-LT
Sample245	-0.244575457	-0.06667303	PCOS-LT
Sample249	-0.244575457	-0.06667303	PCOS-LT
Sample251	-0.244575457	-0.06667303	PCOS-LT
Sample256	-0.244575457	-0.06667303	PCOS-LT
Sample259	-0.244575457	-0.06667303	PCOS-LT
Sample260	-0.244575457	-0.06667303	PCOS-LT
Sample262	-0.244575457	-0.06667303	PCOS-LT
Sample264	-0.244575457	-0.06667303	PCOS-LT
Sample267	-0.244575457	-0.06667303	PCOS-LT
Sample268	-0.244575457	-0.06667303	PCOS-LT
Sample271	-0.244575457	-0.06667303	PCOS-LT
Sample276	-0.244575457	-0.06667303	PCOS-LT
Sample280	-0.244575457	-0.06667303	PCOS-LT
Sample281	-0.244575457	-0.06667303	PCOS-LT
Sample285	-0.244575457	-0.06667303	PCOS-LT
Sample291	-0.244575457	-0.06667303	PCOS-LT
Sample292	-0.244575457	-0.06667303	PCOS-LT
Sample294	-0.244575457	-0.06667303	PCOS-LT
Sample297	-0.244575457	-0.06667303	PCOS-LT
Sample299	-0.244575457	-0.06667303	PCOS-LT
Sample300	-0.244575457	-0.06667303	PCOS-LT
Sample308	-0.244575457	-0.06667303	PCOS-LT
Sample313	-0.244575457	-0.06667303	PCOS-LT
Sample314	-0.244575457	-0.06667303	PCOS-LT
Sample315	-0.244575457	-0.06667303	PCOS-LT
Sample316	-0.244575457	-0.06667303	PCOS-LT
Sample317	-0.244575457	-0.06667303	PCOS-LT
Sample318	-0.244575457	-0.06667303	PCOS-LT
Sample319	-0.244575457	-0.06667303	PCOS-LT
Sample320	-0.244575457	-0.06667303	PCOS-LT
Sample322	-0.244575457	-0.06667303	PCOS-LT
Sample323	-0.244575457	-0.06667303	PCOS-LT
Sample339	-0.244575457	-0.06667303	PCOS-LT
Sample340	-0.244575457	-0.06667303	PCOS-LT
Sample341	-0.244575457	-0.06667303	PCOS-LT
Sample343	-0.244575457	-0.06667303	PCOS-LT
Sample344	-0.244575457	-0.06667303	PCOS-LT
Sample345	-0.244575457	-0.06667303	PCOS-LT
Sample346	-0.244575457	-0.06667303	PCOS-LT
Sample347	-0.244575457	-0.06667303	PCOS-LT
Sample348	-0.244575457	-0.06667303	PCOS-LT
Sample349	-0.244575457	-0.06667303	PCOS-LT
Sample350	-0.244575457	-0.06667303	PCOS-LT
Sample351	-0.244575457	-0.06667303	PCOS-LT
Sample352	-0.244575457	-0.06667303	PCOS-LT
Sample353	-0.244575457	-0.06667303	PCOS-LT
Sample1029	-0.244575457	-0.06667303	PCOS-LT
Sample1030	-0.244575457	-0.06667303	PCOS-LT
Sample1031	-0.244575457	-0.06667303	PCOS-LT
Sample1032	-0.244575457	-0.06667303	PCOS-LT
Sample1033	-0.244575457	-0.06667303	PCOS-LT
Sample1034	-0.244575457	-0.06667303	PCOS-LT
Sample1035	-0.244575457	-0.06667303	PCOS-LT
Sample1036	-0.244575457	-0.06667303	PCOS-LT
Sample1037	-0.244575457	-0.06667303	PCOS-LT
Sample1038	-0.244575457	-0.06667303	PCOS-LT
Sample1040	-0.244575457	-0.06667303	PCOS-LT
Sample1041	-0.244575457	-0.06667303	PCOS-LT
Sample1042	-0.244575457	-0.06667303	PCOS-LT
Sample1043	-0.244575457	-0.06667303	PCOS-LT
Sample1044	-0.244575457	-0.06667303	PCOS-LT
Sample1045	-0.244575457	-0.06667303	PCOS-LT
Sample1046	-0.244575457	-0.06667303	PCOS-LT
Sample1047	-0.244575457	-0.06667303	PCOS-LT
Sample1048	-0.244575457	-0.06667303	PCOS-LT
Sample1049	-0.244575457	-0.06667303	PCOS-LT
Sample1063	-0.244575457	-0.06667303	PCOS-LT
Sample1064	-0.244575457	-0.06667303	PCOS-LT
Sample1067	-0.244575457	-0.06667303	PCOS-LT
Sample1068	-0.244575457	-0.06667303	PCOS-LT
Sample1072	-0.244575457	-0.06667303	PCOS-LT
Sample1078	-0.244575457	-0.06667303	PCOS-LT
Sample1080	-0.244575457	-0.06667303	PCOS-LT
Sample1085	-0.244575457	-0.06667303	PCOS-LT
Sample1087	-0.244575457	-0.06667303	PCOS-LT
Sample1089	-0.244575457	-0.06667303	PCOS-LT
Sample1090	-0.244575457	-0.06667303	PCOS-LT
Sample1091	-0.244575457	-0.06667303	PCOS-LT
Sample1093	-0.244575457	-0.06667303	PCOS-LT
Sample1098	-0.244575457	-0.06667303	PCOS-LT
Sample1102	-0.244575457	-0.06667303	PCOS-LT
Sample1103	-0.244575457	-0.06667303	PCOS-LT
Sample1104	-0.244575457	-0.06667303	PCOS-LT
Sample1105	-0.244575457	-0.06667303	PCOS-LT
Sample1107	-0.244575457	-0.06667303	PCOS-LT
Sample1109	-0.244575457	-0.06667303	PCOS-LT
Sample1113	-0.244575457	-0.06667303	PCOS-LT
Sample1117	-0.244575457	-0.06667303	PCOS-LT
Sample1122	-0.244575457	-0.06667303	PCOS-LT
Sample1126	-0.244575457	-0.06667303	PCOS-LT
Sample1128	-0.244575457	-0.06667303	PCOS-LT
Sample1135	-0.244575457	-0.06667303	PCOS-LT
Sample1138	-0.244575457	-0.06667303	PCOS-LT
Sample1141	-0.244575457	-0.06667303	PCOS-LT
Sample1145	-0.244575457	-0.06667303	PCOS-LT
Sample1146	-0.244575457	-0.06667303	PCOS-LT
Sample1148	-0.244575457	-0.06667303	PCOS-LT
Sample1150	-0.244575457	-0.06667303	PCOS-LT
Sample1155	-0.244575457	-0.06667303	PCOS-LT
Sample1156	-0.244575457	-0.06667303	PCOS-LT
Sample1157	-0.244575457	-0.06667303	PCOS-LT
Sample1160	-0.244575457	-0.06667303	PCOS-LT
Sample1169	-0.244575457	-0.06667303	PCOS-LT
Sample1170	-0.244575457	-0.06667303	PCOS-LT
Sample1171	-0.244575457	-0.06667303	PCOS-LT
Sample1174	-0.244575457	-0.06667303	PCOS-LT
Sample1178	-0.244575457	-0.06667303	PCOS-LT
Sample1186	-0.244575457	-0.06667303	PCOS-LT
Sample1188	-0.244575457	-0.06667303	PCOS-LT
Sample1193	-0.244575457	-0.06667303	PCOS-LT
Sample1196	-0.244575457	-0.06667303	PCOS-LT
Sample1197	-0.244575457	-0.06667303	PCOS-LT
Sample1199	-0.244575457	-0.06667303	PCOS-LT
Sample1201	-0.244575457	-0.06667303	PCOS-LT
Sample1202	-0.244575457	-0.06667303	PCOS-LT
Sample1203	-0.244575457	-0.06667303	PCOS-LT
Sample1209	-0.244575457	-0.06667303	PCOS-LT
Sample1210	-0.244575457	-0.06667303	PCOS-LT
Sample1212	-0.244575457	-0.06667303	PCOS-LT
Sample1214	-0.244575457	-0.06667303	PCOS-LT
Sample1217	-0.244575457	-0.06667303	PCOS-LT
Sample1218	-0.244575457	-0.06667303	PCOS-LT
Sample1222	-0.244575457	-0.06667303	PCOS-LT
Sample1225	-0.244575457	-0.06667303	PCOS-LT
Sample1229	-0.244575457	-0.06667303	PCOS-LT
Sample1233	-0.244575457	-0.06667303	PCOS-LT
Sample1234	-0.244575457	-0.06667303	PCOS-LT
Sample1240	-0.244575457	-0.06667303	PCOS-LT
Sample1243	-0.244575457	-0.06667303	PCOS-LT
Sample1245	-0.244575457	-0.06667303	PCOS-LT
Sample1247	-0.244575457	-0.06667303	PCOS-LT
Sample1248	-0.244575457	-0.06667303	PCOS-LT
Sample1251	-0.244575457	-0.06667303	PCOS-LT
Sample1252	-0.244575457	-0.06667303	PCOS-LT
Sample1259	-0.244575457	-0.06667303	PCOS-LT
Sample1263	-0.244575457	-0.06667303	PCOS-LT
Sample1269	-0.244575457	-0.06667303	PCOS-LT
Sample1282	-0.244575457	-0.06667303	PCOS-LT
Sample1285	-0.244575457	-0.06667303	PCOS-LT
Sample1286	-0.244575457	-0.06667303	PCOS-LT
Sample1287	-0.244575457	-0.06667303	PCOS-LT
Sample1289	-0.244575457	-0.06667303	PCOS-LT
Sample1291	-0.244575457	-0.06667303	PCOS-LT
Sample1293	-0.244575457	-0.06667303	PCOS-LT
Sample1295	-0.244575457	-0.06667303	PCOS-LT
Sample1299	-0.244575457	-0.06667303	PCOS-LT
Sample1300	-0.244575457	-0.06667303	PCOS-LT
Sample1307	-0.244575457	-0.06667303	PCOS-LT
Sample1311	-0.244575457	-0.06667303	PCOS-LT
Sample1313	-0.244575457	-0.06667303	PCOS-LT
Sample1318	-0.244575457	-0.06667303	PCOS-LT
Sample1321	-0.244575457	-0.06667303	PCOS-LT
Sample1322	-0.244575457	-0.06667303	PCOS-LT
Sample1324	-0.244575457	-0.06667303	PCOS-LT
Sample1326	-0.244575457	-0.06667303	PCOS-LT
Sample1329	-0.244575457	-0.06667303	PCOS-LT
Sample1330	-0.244575457	-0.06667303	PCOS-LT
Sample1333	-0.244575457	-0.06667303	PCOS-LT
Sample1338	-0.244575457	-0.06667303	PCOS-LT
Sample1342	-0.244575457	-0.06667303	PCOS-LT
Sample1343	-0.244575457	-0.06667303	PCOS-LT
Sample1347	-0.244575457	-0.06667303	PCOS-LT
Sample1353	-0.244575457	-0.06667303	PCOS-LT
Sample1354	-0.244575457	-0.06667303	PCOS-LT
Sample1356	-0.244575457	-0.06667303	PCOS-LT
Sample1359	-0.244575457	-0.06667303	PCOS-LT
Sample1361	-0.244575457	-0.06667303	PCOS-LT
Sample1362	-0.244575457	-0.06667303	PCOS-LT
Sample1451	-0.244575457	-0.06667303	PCOS-LT
Sample1452	-0.244575457	-0.06667303	PCOS-LT
Sample1454	-0.244575457	-0.06667303	PCOS-LT
Sample1455	-0.244575457	-0.06667303	PCOS-LT
Sample1456	-0.244575457	-0.06667303	PCOS-LT
Sample1457	-0.244575457	-0.06667303	PCOS-LT
Sample1458	-0.244575457	-0.06667303	PCOS-LT
Sample1459	-0.244575457	-0.06667303	PCOS-LT
Sample1460	-0.244575457	-0.06667303	PCOS-LT
Sample1461	-0.244575457	-0.06667303	PCOS-LT
Sample1462	-0.244575457	-0.06667303	PCOS-LT
Sample1463	-0.244575457	-0.06667303	PCOS-LT
Sample1465	-0.244575457	-0.06667303	PCOS-LT
Sample1466	-0.244575457	-0.06667303	PCOS-LT
Sample1467	-0.244575457	-0.06667303	PCOS-LT
Sample1468	-0.244575457	-0.06667303	PCOS-LT
Sample1469	-0.244575457	-0.06667303	PCOS-LT
