name	group
Sample1	PCOS-LT
Sample2	PCOS-LT
Sample5	PCOS-LT
Sample6	PCOS-LT
Sample10	PCOS-LT
Sample16	PCOS-LT
Sample18	PCOS-LT
Sample23	PCOS-LT
Sample25	PCOS-LT
Sample27	PCOS-LT
Sample28	PCOS-LT
Sample29	PCOS-LT
Sample31	PCOS-LT
Sample36	PCOS-LT
Sample40	PCOS-LT
Sample41	PCOS-LT
Sample42	PCOS-LT
Sample43	PCOS-LT
Sample45	PCOS-LT
Sample47	PCOS-LT
Sample51	PCOS-LT
Sample55	PCOS-LT
Sample60	PCOS-LT
Sample64	PCOS-LT
Sample66	PCOS-LT
Sample73	PCOS-LT
Sample76	PCOS-LT
Sample79	PCOS-LT
Sample83	PCOS-LT
Sample84	PCOS-LT
Sample86	PCOS-LT
Sample88	PCOS-LT
Sample93	PCOS-LT
Sample94	PCOS-LT
Sample95	PCOS-LT
Sample98	PCOS-LT
Sample107	PCOS-LT
Sample108	PCOS-LT
Sample109	PCOS-LT
Sample112	PCOS-LT
Sample116	PCOS-LT
Sample124	PCOS-LT
Sample126	PCOS-LT
Sample131	PCOS-LT
Sample134	PCOS-LT
Sample135	PCOS-LT
Sample137	PCOS-LT
Sample139	PCOS-LT
Sample140	PCOS-LT
Sample141	PCOS-LT
Sample147	PCOS-LT
Sample148	PCOS-LT
Sample150	PCOS-LT
Sample152	PCOS-LT
Sample155	PCOS-LT
Sample156	PCOS-LT
Sample160	PCOS-LT
Sample163	PCOS-LT
Sample167	PCOS-LT
Sample171	PCOS-LT
Sample172	PCOS-LT
Sample178	PCOS-LT
Sample181	PCOS-LT
Sample183	PCOS-LT
Sample185	PCOS-LT
Sample186	PCOS-LT
Sample189	PCOS-LT
Sample190	PCOS-LT
Sample197	PCOS-LT
Sample201	PCOS-LT
Sample207	PCOS-LT
Sample220	PCOS-LT
Sample223	PCOS-LT
Sample224	PCOS-LT
Sample225	PCOS-LT
Sample227	PCOS-LT
Sample229	PCOS-LT
Sample231	PCOS-LT
Sample233	PCOS-LT
Sample237	PCOS-LT
Sample238	PCOS-LT
Sample245	PCOS-LT
Sample249	PCOS-LT
Sample251	PCOS-LT
Sample256	PCOS-LT
Sample259	PCOS-LT
Sample260	PCOS-LT
Sample262	PCOS-LT
Sample264	PCOS-LT
Sample267	PCOS-LT
Sample268	PCOS-LT
Sample271	PCOS-LT
Sample276	PCOS-LT
Sample280	PCOS-LT
Sample281	PCOS-LT
Sample285	PCOS-LT
Sample291	PCOS-LT
Sample292	PCOS-LT
Sample294	PCOS-LT
Sample297	PCOS-LT
Sample299	PCOS-LT
Sample300	PCOS-LT
Sample308	PCOS-LT
Sample313	PCOS-LT
Sample314	PCOS-LT
Sample315	PCOS-LT
Sample316	PCOS-LT
Sample317	PCOS-LT
Sample318	PCOS-LT
Sample319	PCOS-LT
Sample320	PCOS-LT
Sample322	PCOS-LT
Sample323	PCOS-LT
Sample339	PCOS-LT
Sample340	PCOS-LT
Sample341	PCOS-LT
Sample343	PCOS-LT
Sample344	PCOS-LT
Sample345	PCOS-LT
Sample346	PCOS-LT
Sample347	PCOS-LT
Sample348	PCOS-LT
Sample349	PCOS-LT
Sample350	PCOS-LT
Sample351	PCOS-LT
Sample352	PCOS-LT
Sample353	PCOS-LT
Sample1029	PCOS-LT
Sample1030	PCOS-LT
Sample1031	PCOS-LT
Sample1032	PCOS-LT
Sample1033	PCOS-LT
Sample1034	PCOS-LT
Sample1035	PCOS-LT
Sample1036	PCOS-LT
Sample1037	PCOS-LT
Sample1038	PCOS-LT
Sample1040	PCOS-LT
Sample1041	PCOS-LT
Sample1042	PCOS-LT
Sample1043	PCOS-LT
Sample1044	PCOS-LT
Sample1045	PCOS-LT
Sample1046	PCOS-LT
Sample1047	PCOS-LT
Sample1048	PCOS-LT
Sample1049	PCOS-LT
Sample1063	PCOS-LT
Sample1064	PCOS-LT
Sample1067	PCOS-LT
Sample1068	PCOS-LT
Sample1072	PCOS-LT
Sample1078	PCOS-LT
Sample1080	PCOS-LT
Sample1085	PCOS-LT
Sample1087	PCOS-LT
Sample1089	PCOS-LT
Sample1090	PCOS-LT
Sample1091	PCOS-LT
Sample1093	PCOS-LT
Sample1098	PCOS-LT
Sample1102	PCOS-LT
Sample1103	PCOS-LT
Sample1104	PCOS-LT
Sample1105	PCOS-LT
Sample1107	PCOS-LT
Sample1109	PCOS-LT
Sample1113	PCOS-LT
Sample1117	PCOS-LT
Sample1122	PCOS-LT
Sample1126	PCOS-LT
Sample1128	PCOS-LT
Sample1135	PCOS-LT
Sample1138	PCOS-LT
Sample1141	PCOS-LT
Sample1145	PCOS-LT
Sample1146	PCOS-LT
Sample1148	PCOS-LT
Sample1150	PCOS-LT
Sample1155	PCOS-LT
Sample1156	PCOS-LT
Sample1157	PCOS-LT
Sample1160	PCOS-LT
Sample1169	PCOS-LT
Sample1170	PCOS-LT
Sample1171	PCOS-LT
Sample1174	PCOS-LT
Sample1178	PCOS-LT
Sample1186	PCOS-LT
Sample1188	PCOS-LT
Sample1193	PCOS-LT
Sample1196	PCOS-LT
Sample1197	PCOS-LT
Sample1199	PCOS-LT
Sample1201	PCOS-LT
Sample1202	PCOS-LT
Sample1203	PCOS-LT
Sample1209	PCOS-LT
Sample1210	PCOS-LT
Sample1212	PCOS-LT
Sample1214	PCOS-LT
Sample1217	PCOS-LT
Sample1218	PCOS-LT
Sample1222	PCOS-LT
Sample1225	PCOS-LT
Sample1229	PCOS-LT
Sample1233	PCOS-LT
Sample1234	PCOS-LT
Sample1240	PCOS-LT
Sample1243	PCOS-LT
Sample1245	PCOS-LT
Sample1247	PCOS-LT
Sample1248	PCOS-LT
Sample1251	PCOS-LT
Sample1252	PCOS-LT
Sample1259	PCOS-LT
Sample1263	PCOS-LT
Sample1269	PCOS-LT
Sample1282	PCOS-LT
Sample1285	PCOS-LT
Sample1286	PCOS-LT
Sample1287	PCOS-LT
Sample1289	PCOS-LT
Sample1291	PCOS-LT
Sample1293	PCOS-LT
Sample1295	PCOS-LT
Sample1299	PCOS-LT
Sample1300	PCOS-LT
Sample1307	PCOS-LT
Sample1311	PCOS-LT
Sample1313	PCOS-LT
Sample1318	PCOS-LT
Sample1321	PCOS-LT
Sample1322	PCOS-LT
Sample1324	PCOS-LT
Sample1326	PCOS-LT
Sample1329	PCOS-LT
Sample1330	PCOS-LT
Sample1333	PCOS-LT
Sample1338	PCOS-LT
Sample1342	PCOS-LT
Sample1343	PCOS-LT
Sample1347	PCOS-LT
Sample1353	PCOS-LT
Sample1354	PCOS-LT
Sample1356	PCOS-LT
Sample1359	PCOS-LT
Sample1361	PCOS-LT
Sample1362	PCOS-LT
Sample1451	PCOS-LT
Sample1452	PCOS-LT
Sample1454	PCOS-LT
Sample1455	PCOS-LT
Sample1456	PCOS-LT
Sample1457	PCOS-LT
Sample1458	PCOS-LT
Sample1459	PCOS-LT
Sample1460	PCOS-LT
Sample1461	PCOS-LT
Sample1462	PCOS-LT
Sample1463	PCOS-LT
Sample1465	PCOS-LT
Sample1466	PCOS-LT
Sample1467	PCOS-LT
Sample1468	PCOS-LT
Sample1469	PCOS-LT
Sample1470	PCOS-LT
Sample1471	PCOS-LT
Sample1472	PCOS-LT
Sample1489	PCOS-LT
Sample1490	PCOS-LT
Sample1491	PCOS-LT
Sample1493	PCOS-LT
Sample1494	PCOS-LT
Sample1495	PCOS-LT
Sample1497	PCOS-LT
Sample1498	PCOS-LT
Sample1499	PCOS-LT
Sample1500	PCOS-LT
Sample355	PCOS-HT
Sample356	PCOS-HT
Sample357	PCOS-HT
Sample358	PCOS-HT
Sample359	PCOS-HT
Sample360	PCOS-HT
Sample361	PCOS-HT
Sample362	PCOS-HT
Sample363	PCOS-HT
Sample364	PCOS-HT
Sample365	PCOS-HT
Sample366	PCOS-HT
Sample367	PCOS-HT
Sample368	PCOS-HT
Sample369	PCOS-HT
Sample370	PCOS-HT
Sample371	PCOS-HT
Sample372	PCOS-HT
Sample373	PCOS-HT
Sample374	PCOS-HT
Sample375	PCOS-HT
Sample376	PCOS-HT
Sample377	PCOS-HT
Sample378	PCOS-HT
Sample379	PCOS-HT
Sample380	PCOS-HT
Sample381	PCOS-HT
Sample382	PCOS-HT
Sample383	PCOS-HT
Sample384	PCOS-HT
Sample385	PCOS-HT
Sample386	PCOS-HT
Sample387	PCOS-HT
Sample388	PCOS-HT
Sample389	PCOS-HT
Sample390	PCOS-HT
Sample391	PCOS-HT
Sample392	PCOS-HT
Sample393	PCOS-HT
Sample394	PCOS-HT
Sample395	PCOS-HT
Sample396	PCOS-HT
Sample397	PCOS-HT
Sample398	PCOS-HT
Sample399	PCOS-HT
Sample400	PCOS-HT
Sample401	PCOS-HT
Sample402	PCOS-HT
Sample403	PCOS-HT
Sample404	PCOS-HT
Sample405	PCOS-HT
Sample406	PCOS-HT
Sample407	PCOS-HT
Sample408	PCOS-HT
Sample409	PCOS-HT
Sample410	PCOS-HT
Sample411	PCOS-HT
Sample412	PCOS-HT
Sample413	PCOS-HT
Sample414	PCOS-HT
Sample415	PCOS-HT
Sample416	PCOS-HT
Sample417	PCOS-HT
Sample418	PCOS-HT
Sample446	PCOS-HT
Sample458	PCOS-HT
Sample460	PCOS-HT
Sample462	PCOS-HT
Sample463	PCOS-HT
Sample464	PCOS-HT
Sample469	PCOS-HT
Sample470	PCOS-HT
Sample475	PCOS-HT
Sample476	PCOS-HT
Sample477	PCOS-HT
Sample480	PCOS-HT
Sample485	PCOS-HT
Sample492	PCOS-HT
Sample493	PCOS-HT
Sample494	PCOS-HT
Sample495	PCOS-HT
Sample496	PCOS-HT
Sample497	PCOS-HT
Sample498	PCOS-HT
Sample499	PCOS-HT
Sample500	PCOS-HT
Sample501	PCOS-HT
Sample514	PCOS-HT
Sample515	PCOS-HT
Sample516	PCOS-HT
Sample517	PCOS-HT
Sample518	PCOS-HT
Sample519	PCOS-HT
Sample520	PCOS-HT
Sample521	PCOS-HT
Sample522	PCOS-HT
Sample523	PCOS-HT
Sample524	PCOS-HT
Sample535	PCOS-HT
Sample546	PCOS-HT
Sample547	PCOS-HT
Sample548	PCOS-HT
Sample549	PCOS-HT
Sample550	PCOS-HT
Sample551	PCOS-HT
Sample552	PCOS-HT
Sample553	PCOS-HT
Sample554	PCOS-HT
Sample555	PCOS-HT
Sample556	PCOS-HT
Sample557	PCOS-HT
Sample558	PCOS-HT
Sample559	PCOS-HT
Sample560	PCOS-HT
Sample561	PCOS-HT
Sample563	PCOS-HT
Sample564	PCOS-HT
Sample565	PCOS-HT
Sample566	PCOS-HT
Sample567	PCOS-HT
Sample569	PCOS-HT
Sample571	PCOS-HT
Sample572	PCOS-HT
Sample574	PCOS-HT
Sample576	PCOS-HT
Sample578	PCOS-HT
Sample579	PCOS-HT
Sample580	PCOS-HT
Sample581	PCOS-HT
Sample582	PCOS-HT
Sample584	PCOS-HT
Sample586	PCOS-HT
Sample587	PCOS-HT
Sample590	PCOS-HT
Sample591	PCOS-HT
Sample592	PCOS-HT
Sample593	PCOS-HT
Sample595	PCOS-HT
Sample597	PCOS-HT
Sample598	PCOS-HT
Sample599	PCOS-HT
Sample600	PCOS-HT
Sample601	PCOS-HT
Sample602	PCOS-HT
Sample603	PCOS-HT
Sample604	PCOS-HT
Sample606	PCOS-HT
Sample609	PCOS-HT
Sample611	PCOS-HT
Sample613	PCOS-HT
Sample614	PCOS-HT
Sample633	PCOS-HT
Sample640	PCOS-HT
Sample641	PCOS-HT
Sample646	PCOS-HT
Sample648	PCOS-HT
Sample652	PCOS-HT
Sample659	PCOS-HT
Sample681	PCOS-HT
Sample691	PCOS-HT
Sample700	PCOS-HT
Sample702	PCOS-HT
Sample706	PCOS-HT
Sample707	PCOS-HT
Sample711	PCOS-HT
Sample724	PCOS-HT
Sample725	PCOS-HT
Sample730	PCOS-HT
Sample740	PCOS-HT
Sample742	PCOS-HT
Sample743	PCOS-HT
Sample744	PCOS-HT
Sample747	PCOS-HT
Sample748	PCOS-HT
Sample751	PCOS-HT
Sample754	PCOS-HT
Sample755	PCOS-HT
Sample756	PCOS-HT
Sample757	PCOS-HT
Sample758	PCOS-HT
Sample759	PCOS-HT
Sample760	PCOS-HT
Sample761	PCOS-HT
Sample763	PCOS-HT
Sample764	PCOS-HT
Sample765	PCOS-HT
Sample766	PCOS-HT
Sample767	PCOS-HT
Sample768	PCOS-HT
Sample769	PCOS-HT
Sample770	PCOS-HT
Sample771	PCOS-HT
Sample772	PCOS-HT
Sample774	PCOS-HT
Sample775	PCOS-HT
Sample776	PCOS-HT
Sample777	PCOS-HT
Sample778	PCOS-HT
Sample779	PCOS-HT
Sample780	PCOS-HT
Sample781	PCOS-HT
Sample782	PCOS-HT
Sample783	PCOS-HT
Sample785	PCOS-HT
Sample786	PCOS-HT
Sample787	PCOS-HT
Sample788	PCOS-HT
Sample789	PCOS-HT
Sample790	PCOS-HT
Sample791	PCOS-HT
Sample792	PCOS-HT
Sample793	PCOS-HT
Sample794	PCOS-HT
Sample796	PCOS-HT
Sample797	PCOS-HT
Sample798	PCOS-HT
Sample799	PCOS-HT
Sample800	PCOS-HT
Sample801	PCOS-HT
Sample802	PCOS-HT
Sample803	PCOS-HT
Sample804	PCOS-HT
Sample889	PCOS-HT
Sample890	PCOS-HT
Sample891	PCOS-HT
Sample892	PCOS-HT
Sample893	PCOS-HT
Sample894	PCOS-HT
Sample895	PCOS-HT
Sample896	PCOS-HT
Sample897	PCOS-HT
Sample898	PCOS-HT
Sample900	PCOS-HT
Sample901	PCOS-HT
Sample902	PCOS-HT
Sample903	PCOS-HT
Sample904	PCOS-HT
Sample905	PCOS-HT
Sample906	PCOS-HT
Sample907	PCOS-HT
Sample908	PCOS-HT
Sample909	PCOS-HT
Sample911	PCOS-HT
Sample912	PCOS-HT
Sample913	PCOS-HT
Sample914	PCOS-HT
Sample915	PCOS-HT
Sample916	PCOS-HT
Sample917	PCOS-HT
Sample918	PCOS-HT
Sample919	PCOS-HT
Sample920	PCOS-HT
Sample922	PCOS-HT
Sample923	PCOS-HT
Sample924	PCOS-HT
Sample925	PCOS-HT
Sample926	PCOS-HT
Sample927	PCOS-HT
Sample928	PCOS-HT
Sample929	PCOS-HT
Sample930	PCOS-HT
Sample931	PCOS-HT
Sample933	PCOS-HT
Sample934	PCOS-HT
Sample935	PCOS-HT
Sample936	PCOS-HT
Sample937	PCOS-HT
Sample938	PCOS-HT
Sample939	PCOS-HT
Sample940	PCOS-HT
Sample941	PCOS-HT
Sample942	PCOS-HT
Sample944	PCOS-HT
Sample945	PCOS-HT
Sample946	PCOS-HT
Sample947	PCOS-HT
Sample948	PCOS-HT
Sample949	PCOS-HT
Sample950	PCOS-HT
Sample951	PCOS-HT
Sample952	PCOS-HT
Sample953	PCOS-HT
Sample955	PCOS-HT
Sample956	PCOS-HT
Sample981	PCOS-HT
Sample982	PCOS-HT
Sample983	PCOS-HT
Sample984	PCOS-HT
Sample985	PCOS-HT
Sample986	PCOS-HT
Sample988	PCOS-HT
Sample989	PCOS-HT
Sample990	PCOS-HT
Sample991	PCOS-HT
Sample992	PCOS-HT
Sample993	PCOS-HT
Sample994	PCOS-HT
Sample995	PCOS-HT
Sample996	PCOS-HT
Sample997	PCOS-HT
Sample999	PCOS-HT
Sample1000	PCOS-HT
Sample1001	PCOS-HT
Sample1002	PCOS-HT
Sample1003	PCOS-HT
Sample1004	PCOS-HT
Sample1005	PCOS-HT
Sample1006	PCOS-HT
Sample1007	PCOS-HT
Sample1008	PCOS-HT
Sample1010	PCOS-HT
Sample1011	PCOS-HT
Sample1012	PCOS-HT
Sample1013	PCOS-HT
Sample1014	PCOS-HT
Sample1015	PCOS-HT
Sample1016	PCOS-HT
Sample1017	PCOS-HT
Sample1018	PCOS-HT
Sample1019	PCOS-HT
Sample1366	PCOS-HT
Sample1369	PCOS-HT
Sample1370	PCOS-HT
Sample1371	PCOS-HT
Sample1372	PCOS-HT
Sample1373	PCOS-HT
Sample1377	PCOS-HT
Sample1378	PCOS-HT
Sample1379	PCOS-HT
Sample1381	PCOS-HT
Sample1383	PCOS-HT
Sample1384	PCOS-HT
Sample1386	PCOS-HT
Sample1387	PCOS-HT
Sample1389	PCOS-HT
Sample1392	PCOS-HT
Sample1393	PCOS-HT
Sample1394	PCOS-HT
Sample1398	PCOS-HT
Sample1399	PCOS-HT
Sample1401	PCOS-HT
Sample1403	PCOS-HT
Sample1405	PCOS-HT
Sample1406	PCOS-HT
Sample1408	PCOS-HT
Sample1409	PCOS-HT
Sample1411	PCOS-HT
Sample1412	PCOS-HT
Sample1413	PCOS-HT
Sample1414	PCOS-HT
Sample1416	PCOS-HT
Sample1418	PCOS-HT
Sample1419	PCOS-HT
Sample1421	PCOS-HT
Sample1422	PCOS-HT
Sample1423	PCOS-HT
Sample1425	PCOS-HT
Sample1426	PCOS-HT
Sample1427	PCOS-HT
Sample1433	PCOS-HT
Sample1434	PCOS-HT
Sample1436	PCOS-HT
Sample1437	PCOS-HT
Sample1445	PCOS-HT
Sample1447	PCOS-HT
Sample1519	PCOS-HT
Sample1520	PCOS-HT
Sample1521	PCOS-HT
Sample1523	PCOS-HT
Sample1524	PCOS-HT
Sample1525	PCOS-HT
Sample1526	PCOS-HT
Sample1527	PCOS-HT
Sample1528	PCOS-HT
Sample1529	PCOS-HT
Sample1530	PCOS-HT
Sample1531	PCOS-HT
Sample1532	PCOS-HT
Sample1534	PCOS-HT
Sample1535	PCOS-HT
Sample1536	PCOS-HT
Sample1537	PCOS-HT
Sample1538	PCOS-HT
Sample1542	PCOS-HT
Sample1543	PCOS-HT
Sample1544	PCOS-HT
Sample1545	PCOS-HT
Sample1546	PCOS-HT
Sample1547	PCOS-HT
Sample1548	PCOS-HT
Sample1549	PCOS-HT
Sample1550	PCOS-HT
Sample1551	PCOS-HT
Sample1552	PCOS-HT
Sample1553	PCOS-HT
Sample1554	PCOS-HT
Sample1555	PCOS-HT
Sample1556	PCOS-HT
Sample1557	PCOS-HT
Sample1558	PCOS-HT
Sample1559	PCOS-HT
Sample1560	PCOS-HT
Sample1561	PCOS-HT
Sample1562	PCOS-HT
Sample1563	PCOS-HT
Sample1564	PCOS-HT
Sample1565	PCOS-HT
Sample1566	PCOS-HT
Sample1567	PCOS-HT
Sample1568	PCOS-HT
Sample1576	PCOS-HT
Sample1585	PCOS-HT
Sample1586	PCOS-HT
Sample1587	PCOS-HT
Sample1588	PCOS-HT
Sample1589	PCOS-HT
Sample100	HC
Sample1009	HC
Sample101	HC
Sample102	HC
Sample1020	HC
Sample1021	HC
Sample1022	HC
Sample1023	HC
Sample1024	HC
Sample1025	HC
Sample1026	HC
Sample1027	HC
Sample1028	HC
Sample103	HC
Sample1039	HC
Sample104	HC
Sample105	HC
Sample1050	HC
Sample1051	HC
Sample1052	HC
Sample1053	HC
Sample1054	HC
Sample1055	HC
Sample1056	HC
Sample1057	HC
Sample1058	HC
Sample1059	HC
Sample106	HC
Sample1060	HC
Sample1061	HC
Sample1062	HC
Sample1065	HC
Sample1066	HC
Sample1069	HC
Sample1070	HC
Sample1071	HC
Sample1073	HC
Sample1074	HC
Sample1075	HC
Sample1076	HC
Sample1077	HC
Sample1079	HC
Sample1081	HC
Sample1082	HC
Sample1083	HC
Sample1084	HC
Sample1086	HC
Sample1088	HC
Sample1092	HC
Sample1094	HC
Sample1095	HC
Sample1096	HC
Sample1097	HC
Sample1099	HC
Sample11	HC
Sample110	HC
Sample1100	HC
Sample1101	HC
Sample1106	HC
Sample1108	HC
Sample111	HC
Sample1110	HC
Sample1111	HC
Sample1112	HC
Sample1114	HC
Sample1115	HC
Sample1116	HC
Sample1118	HC
Sample1119	HC
Sample1120	HC
Sample1121	HC
Sample1123	HC
Sample1124	HC
Sample1125	HC
Sample1127	HC
Sample1129	HC
Sample113	HC
Sample1130	HC
Sample1131	HC
Sample1132	HC
Sample1133	HC
Sample1134	HC
Sample1136	HC
Sample1137	HC
Sample1139	HC
Sample114	HC
Sample1140	HC
Sample1142	HC
Sample1143	HC
Sample1144	HC
Sample1147	HC
Sample1149	HC
Sample115	HC
Sample1151	HC
Sample1152	HC
Sample1153	HC
Sample1154	HC
Sample1158	HC
Sample1159	HC
Sample1161	HC
Sample1162	HC
Sample1163	HC
Sample1164	HC
Sample1165	HC
Sample1166	HC
Sample1167	HC
Sample1168	HC
Sample117	HC
Sample1172	HC
Sample1173	HC
Sample1175	HC
Sample1176	HC
Sample1177	HC
Sample1179	HC
Sample118	HC
Sample1180	HC
Sample1181	HC
Sample1182	HC
Sample1183	HC
Sample1184	HC
Sample1185	HC
Sample1187	HC
Sample1189	HC
Sample119	HC
Sample1190	HC
Sample1191	HC
Sample1192	HC
Sample1194	HC
Sample1195	HC
Sample1198	HC
Sample12	HC
Sample120	HC
Sample1200	HC
Sample1204	HC
Sample1205	HC
Sample1206	HC
Sample1207	HC
Sample1208	HC
Sample121	HC
Sample1211	HC
Sample1213	HC
Sample1215	HC
Sample1216	HC
Sample1219	HC
Sample122	HC
Sample1220	HC
Sample1221	HC
Sample1223	HC
Sample1224	HC
Sample1226	HC
Sample1227	HC
Sample1228	HC
Sample123	HC
Sample1230	HC
Sample1231	HC
Sample1232	HC
Sample1235	HC
Sample1236	HC
Sample1237	HC
Sample1238	HC
Sample1239	HC
Sample1241	HC
Sample1242	HC
Sample1244	HC
Sample1246	HC
Sample1249	HC
Sample125	HC
Sample1250	HC
Sample1253	HC
