samples	group
Sample478	HC-A
Sample479	HC-A
Sample481	HC-A
Sample482	HC-A
Sample483	HC-A
Sample484	HC-A
Sample486	HC-A
Sample487	HC-A
Sample488	HC-A
Sample489	HC-A
Sample490	HC-A
Sample491	HC-A
Sample525	HC-A
Sample526	HC-A
Sample527	HC-A
Sample528	HC-A
Sample529	HC-A
Sample530	HC-A
Sample531	HC-A
Sample532	HC-A
Sample533	HC-A
Sample534	HC-A
Sample536	HC-A
Sample537	HC-A
Sample538	HC-A
Sample539	HC-A
Sample540	HC-A
Sample541	HC-A
Sample542	HC-A
Sample543	HC-A
Sample544	HC-A
Sample545	HC-A
Sample753	HC-A
Sample762	HC-A
Sample773	HC-A
Sample784	HC-A
Sample795	HC-A
Sample805	HC-A
Sample806	HC-A
Sample807	HC-A
Sample808	HC-A
Sample809	HC-A
Sample810	HC-A
Sample811	HC-A
Sample812	HC-A
Sample813	HC-A
Sample814	HC-A
Sample815	HC-A
Sample816	HC-A
Sample817	HC-A
Sample818	HC-A
Sample819	HC-A
Sample820	HC-A
Sample821	HC-A
Sample822	HC-A
Sample823	HC-A
Sample824	HC-A
Sample825	HC-A
Sample826	HC-A
Sample827	HC-A
Sample828	HC-A
Sample829	HC-A
Sample830	HC-A
Sample831	HC-A
Sample832	HC-A
Sample833	HC-A
Sample834	HC-A
Sample835	HC-A
Sample836	HC-A
Sample837	HC-A
Sample838	HC-A
Sample839	HC-A
Sample840	HC-A
Sample846	HC-A
Sample847	HC-A
Sample848	HC-A
Sample849	HC-A
Sample850	HC-A
Sample851	HC-A
Sample852	HC-A
Sample853	HC-A
Sample855	HC-A
Sample856	HC-A
Sample857	HC-A
Sample858	HC-A
Sample859	HC-A
Sample860	HC-A
Sample861	HC-A
Sample862	HC-A
Sample863	HC-A
Sample864	HC-A
Sample866	HC-A
Sample867	HC-A
Sample868	HC-A
Sample869	HC-A
Sample870	HC-A
Sample871	HC-A
Sample899	HC-A
Sample910	HC-A
Sample921	HC-A
Sample932	HC-A
Sample943	HC-A
Sample954	HC-A
Sample957	HC-A
Sample958	HC-A
Sample959	HC-A
Sample960	HC-A
Sample961	HC-A
Sample962	HC-A
Sample963	HC-A
Sample964	HC-A
Sample965	HC-A
Sample966	HC-A
Sample967	HC-A
Sample968	HC-A
Sample969	HC-A
Sample970	HC-A
Sample971	HC-A
Sample972	HC-A
Sample973	HC-A
Sample974	HC-A
Sample975	HC-A
Sample976	HC-A
Sample977	HC-A
Sample978	HC-A
Sample979	HC-A
Sample980	HC-A
Sample987	HC-A
Sample998	HC-A
Sample1009	HC-A
Sample1020	HC-A
Sample1021	HC-A
Sample1022	HC-A
Sample1023	HC-A
Sample1024	HC-A
Sample1025	HC-A
Sample1026	HC-A
Sample1027	HC-A
Sample1028	HC-A
Sample1039	HC-A
Sample1050	HC-A
Sample1051	HC-A
Sample1052	HC-A
Sample1053	HC-A
Sample1054	HC-A
Sample1055	HC-A
Sample1056	HC-A
Sample1057	HC-A
Sample1058	HC-A
Sample1059	HC-A
Sample1060	HC-A
Sample1061	HC-A
Sample1062	HC-A
Sample1367	HC-A
Sample1368	HC-A
Sample1374	HC-A
Sample1375	HC-A
Sample1376	HC-A
Sample1380	HC-A
Sample1382	HC-A
Sample1385	HC-A
Sample1388	HC-A
Sample1390	HC-A
Sample1391	HC-A
Sample1395	HC-A
Sample1396	HC-A
Sample1397	HC-A
Sample1400	HC-A
Sample1402	HC-A
Sample1404	HC-A
Sample1407	HC-A
Sample1410	HC-A
