genus,sample,group,value
Bacteroides,HC,HC,14.09764544
Faecalibacterium,HC,HC,9.670658787
Prevotella,HC,HC,8.020086872
Phocaeicola,HC,HC,6.914016216
Alistipes,HC,HC,4.361987402
Agathobacter,HC,HC,2.754674057
Roseburia,HC,HC,2.099242878
Blautia,HC,HC,1.724442544
unclassified,HC,HC,1.69048184
Parabacteroides,HC,HC,1.883519934
Ruminococcus,HC,HC,2.16668683
Dialister,HC,HC,1.124463342
Lachnospira,HC,HC,1.268884449
Bifidobacterium,HC,HC,1.394216956
Barnesiella,HC,HC,1.224874751
Escherichia-Shigella,HC,HC,0.375164316
Others,HC,HC,39.22895339
Bacteroides,PCOS-L,PCOS-L,16.69834915
Faecalibacterium,PCOS-L,PCOS-L,11.29184369
Prevotella,PCOS-L,PCOS-L,2.520070146
Phocaeicola,PCOS-L,PCOS-L,8.784542534
Alistipes,PCOS-L,PCOS-L,6.535722083
Agathobacter,PCOS-L,PCOS-L,3.198512121
Roseburia,PCOS-L,PCOS-L,1.688256845
Blautia,PCOS-L,PCOS-L,1.546488238
unclassified,PCOS-L,PCOS-L,0.946488253
Parabacteroides,PCOS-L,PCOS-L,2.662271839
Ruminococcus,PCOS-L,PCOS-L,2.538211839
Dialister,PCOS-L,PCOS-L,1.000761816
Lachnospira,PCOS-L,PCOS-L,1.622025485
Bifidobacterium,PCOS-L,PCOS-L,1.738398633
Barnesiella,PCOS-L,PCOS-L,2.306151038
Escherichia-Shigella,PCOS-L,PCOS-L,0.427078962
Others,PCOS-L,PCOS-L,34.49482733
Bacteroides,PCOS-H,PCOS-H,20.38632659
Faecalibacterium,PCOS-H,PCOS-H,7.693560133
Prevotella,PCOS-H,PCOS-H,12.22679133
Phocaeicola,PCOS-H,PCOS-H,4.047946238
Alistipes,PCOS-H,PCOS-H,1.773830629
Agathobacter,PCOS-H,PCOS-H,2.046218642
Roseburia,PCOS-H,PCOS-H,2.932322675
Blautia,PCOS-H,PCOS-H,2.911350868
unclassified,PCOS-H,PCOS-H,2.683086098
Parabacteroides,PCOS-H,PCOS-H,1.198488409
Ruminococcus,PCOS-H,PCOS-H,0.99169914
Dialister,PCOS-H,PCOS-H,1.868565674
Lachnospira,PCOS-H,PCOS-H,1.278881472
Bifidobacterium,PCOS-H,PCOS-H,1.002401023
Barnesiella,PCOS-H,PCOS-H,0.344027501
Escherichia-Shigella,PCOS-H,PCOS-H,1.386678998
Others,PCOS-H,PCOS-H,35.22782459
